Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
3069161,COUNTRY,CIV,AFR,Africa,2019,440 000 [400 000 - 490 000],440000.0
3095225,COUNTRY,COD,AFR,Africa,2019,500 000 [410 000 - 600 000],500000.0
3243107,COUNTRY,GBR,EUR,Europe,2019,No data,
3257559,COUNTRY,TJK,EUR,Europe,2019,13 000 [12 000 - 15 000],13000.0
3373080,COUNTRY,KOR,WPR,Western Pacific,2019,No data,
3423669,COUNTRY,BGD,SEAR,South-East Asia,2019,13 000 [13 000 - 14 000],13000.0
3500289,REGION,AFR,,,2019,25 400 000 [23 100 000 - 28 200 000],25400000.0
3593554,REGION,AMR,,,2019,3 600 000 [3 100 000 - 4 100 000],3600000.0
3613620,GLOBAL,GLOBAL,,,2019,38 100 000 [34 500 000 - 42 600 000],38100000.0
3637263,COUNTRY,BRN,WPR,Western Pacific,2019,No data,
3690856,COUNTRY,CAF,AFR,Africa,2019,No data,
3754924,COUNTRY,AZE,EUR,Europe,2019,9400 [8000 - 11 000],9400.0
3761972,COUNTRY,GRD,AMR,Americas,2019,No data,
3857012,COUNTRY,NER,AFR,Africa,2019,31 000 [28 000 - 34 000],31000.0
3884795,COUNTRY,MLT,EUR,Europe,2019,730 [610 - 830],730.0
4020932,COUNTRY,VCT,AMR,Americas,2019,No data,
4052407,COUNTRY,LKA,SEAR,South-East Asia,2019,4500 [4300 - 4800],4500.0
4073463,COUNTRY,GHA,AFR,Africa,2019,320 000 [280 000 - 370 000],320000.0
4246407,COUNTRY,VNM,WPR,Western Pacific,2019,250 000 [230 000 - 270 000],250000.0
4260414,COUNTRY,TON,WPR,Western Pacific,2019,No data,
4280702,COUNTRY,PAN,AMR,Americas,2019,27 000 [24 000 - 29 000],27000.0
4348639,COUNTRY,BFA,AFR,Africa,2019,100 000 [91 000 - 120 000],100000.0
